Title,Price,Keywords
Hole Dozer General Purpose Bi-Metal Hole Saw Set (21-Piece),$19.97,"48-22-3079, design, Combination"
Hole Dozer General Purpose Bi-Metal Hole Saw Set (13-Piece),$29.97,"HELIX, MILWAUKEE, 23"
7.75 in. Combination Electricians 6-in-1 Wire Strippers Pliers,$29.97,"Featuring, hardened, tips"
X-Large Red Nitrile Level 1 Cut Resistant Dipped Work Gloves (6-Pack),$124.97,"Milwaukee, Low-Profile, PACKOUT"
SHOCKWAVE IMPACT DUTY Titanium Drill Bit Set (23-Piece),$28.97,"100, Lumens, Milwaukee"
Screwdriver Set (8-Piece),$54.97,"Saw, 5, in,"
3/8 in. Drive SAE Ratchet and Socket Mechanics Tool Set with Packout Case (28-Piece),$19.97,"13-in-1, Milwaukee, Cushion"
100 Lumens Aluminum Pen Light with Clip (2-Pack),$26.97,"Milwaukee, Shockwave, 45pc"
Hole Dozer General Purpose Bi-Metal Hole Saw Set (9-Piece),$19.97,"Milwaukee, HELIX, The"
13-in-1 Multi-Tip Cushion Grip Screwdriver with 11-in-1 Multi-Tip Screwdriver with Square Drive Bits (2-Pack),$199.00,"REDLITHIUM, XC, Battery"
SHOCKWAVE Impact Duty Alloy Steel Screw Driver Bit Set (45-Piece),$139.00,"The, PACKOUT, box"
Large Red Nitrile Level 1 Cut Resistant Dipped Work Gloves (6-Pack),$29.88,"Milwaukee, Shockwave, 120pc"
SHOCKWAVE Impact-Duty Titanium Drill Bit Set (15-Piece),$179.00,"M18, 1/4, Hex"
M18 18-Volt Lithium-Ion XC Starter Kit with Two 5.0Ah Batteries and Charger,$399.00,"RPM, 1/4"", work"
PACKOUT 22 in. Rolling Tool Box,$199.00,"M12, REDLITHIUM, Battery"
SHOCKWAVE Impact Duty Alloy Steel Screw Driver Bit Set (120-Piece),$299.00,"MILWAUKEE, torque, The"
"M18 18V Lithium-Ion Brushless Cordless Compact Drill/Impact Combo Kit (2-Tool) W/ (2) 2.0Ah Batteries, Charger &amp; Bag",$299.00,"REDLITHIUM, Battery,, Compact"
"M18 18V Lithium-Ion Cordless Combo Tool Kit (5-Tool) with Two 3.0 Ah Batteries, Charger and Tool Bag",$16.51,"batteries, Batteries, Power"
M12 FUEL 12-Volt Lithium-Ion Brushless Cordless Hammer Drill and Impact Driver Combo Kit w/2 Batteries and Bag (2-Tool),$17.87,"Coppertop, 9V, Duracell"
"M18 18V Lithium-Ion Cordless Combo Tool Kit (5-Tool) with 3.0 Ah and 1.5 Ah Batteries, Charger and Tool Bag",$17.87,"MAX, 9-Volt, Alkaline"
"M18 18V Lithium-Ion Cordless Combo Kit (5-Tool) with 2-Batteries, Charger and Tool Bag",$16.87,"batteries, MAX, Batteries"
"MAX AA Batteries (20-Pack), Double A Alkaline Batteries",$16.28,"batteries, Batteries, Power"
Coppertop 9-Volt Alkaline Batteries (4-Pack),$11.80,"The, Energizer, Alkaline"
"MAX AA Batteries (36-Pack), Double A Alkaline Batteries",$19.64,"Energizer, LED, This"
"MAX 9V Batteries (6-Pack), 9-Volt Alkaline Batteries",$34.98,"Lay, Flat, RIDGID"
"MAX D Batteries (8-Pack), D Cell Alkaline Batteries",$29.98,"Husky, 13-piece, Brass"
"MAX C Batteries (8-Pack), C Cell Alkaline Batteries",$229.00,"RIDGID, Nailer, per"
"MAX AAA Batteries (20-Pack), Triple A Alkaline Batteries",$129.00,"1-1/2, Finish, Stapler,"
"Energizer MAX Alkaline 6-Volt Battery, 1 Pack",$379.00,"Bevel, FREE, 12"
"Folding LED Lantern, WeatheReady Lantern, 500 Lumens",$79.00,"5, speed, AIRGUARD"
1/4 in. 50 ft. Lay Flat Air Hose,$349.00,"RIDGID, introduces, 45"
13-Piece Brass Air-Compressor Accessory Kit,$99.00,"Corded, 1/4, Amp"
Pneumatic 21-Degree 3-1/2 in. Round Head Framing Nailer,$129.00,"RIDGID, 18-Gauge, 2-1/8"
"Pneumatic 18-Gauge 1-1/2 in. Finish Stapler, Contractor's Bag and (200) Staples",$249.49,"job, 1/4, This"
15 Amp Corded 12 in. Dual Bevel Sliding Miter Saw with 70 Deg. Miter Capacity and LED Cut Line Indicator,$32.45,"Made, 100%, recycled"
3 Amp Corded 5 in. Random Orbital Sander with AIRGUARD Technology,$37.47,"Made, 100%, recycled"
4.5 Gal. Portable Electric Quiet Air Compressor,$179.00,"Finish, RIDGID, 16-Gauge"
5.5 Amp Corded Fixed Base Trim Router with 2.4 Amp Corded 1/4 Sheet Sander,$99.00,"CLEAN, DRIVE, 18-Gauge"
